,vmid,vmcreated,vmdeleted,maxcpu,avgcpu,p95maxcpu,vmcorecount,vmmemory
1398902,QqYVS/qpt1Lbc98rUUYFv4cG10gDOVq6Zbh9FYZ5cPmpRnxMtwpGWCAclsC6fEn3,0,2591700,100.0,97.22577692891096,99.471228,1,1.75
1398906,BQAevbImFj5DEVjFFW1EKqU8DlidWRF2mn0CUFzzoj9CAvU+JgvKjSmDPONdoUjo,0,2591700,100.0,97.00867492938204,99.691276,1,1.75
1407199,18T+kpXWojK68N/qUCiIMt0zH0vTSQ0D0/40x5HXR63VONLwOrMtfkonoXulsDUO,0,2591700,100.0,65.02283854004624,99.277241,1,1.75
1407226,eaQi9DAhOlN8EyEOcTXy21q5dCmO5XE2ogFmB93I0FSPgS9JKtkkMkPXvaVfgJqR,0,2591700,100.0,50.79164929775426,99.46664,1,1.75
1407233,wWDGk1hjyzawCv/481qnsrYGOubwtsbKKvBey1gMeQAjcEVx7PUNdNZGK4K56ana,0,2591700,100.0,54.551067255242785,99.310284,1,1.75
1474338,57YpggsPA6mCBSo7zUx+y2Qowed+5t0BFKlfE6FLdhpVbjRUwxMZCUFjvAdlJN1J,0,5400,99.25157,54.671360157894746,99.25157,1,1.75
1480841,eVuF6+RhTHITuhEfhMylfzzi3329qnaHbRHQItR5YrZgPdbIwQ0DNZGmAxrbSX/H,0,1500,87.964667,51.62330266666666,87.964667,1,1.75
1494529,KQyQk8wTZEsyOr/az1PGxliDWKO8F1eddHLZhWXKNVSBwCkNcBQKQSHmNpWQmree,0,723000,98.84618,97.9660920186644,98.26321,1,1.75
1494530,g+BlEgJvgH8jdI8RZjLnnz53o1kofu9W8j4pKRpObUD84NlvXYWkUZ9Zeq+r0ioi,0,723300,99.10424300000001,97.83801338987962,98.365193,1,1.75
1494531,SY/SsGmOToPwig2yunsCOBsIsApC+PVlVwUT6SL3QXlopqTjLLbdxM4jewQsl/6h,0,723300,99.134238,98.02013358084562,98.30337800000001,1,1.75
1495518,41q+PASxl2rOsgT5WLS1H8ly7LITLX92bzERKeNqzTOJZM4YllAN12Qp4AC80Ca6,0,723000,99.05560200000001,96.83602399128999,97.926239,1,1.75
1495522,f+oQro1l9v+fmjR4ZCOzr+ox32KeHx3fuPvrJyQ/CVA+RHMMg8JFOh355MSIbRZN,0,723000,99.11200600000001,97.68660880340087,98.297718,1,1.75
1507618,8VTfQIRGx3uy2DTA5aCykJw02aBriDU4JLThHxEAKIWJzb7rqTqKngGfjlbyN7d5,0,685200,100.0,97.78815142275721,98.462354,1,1.75
1507619,tZXuo4UDbbGKLo2dfLGWcxNZPQ4fXrOTcIKYmbJqs3III2G0tGxUI2Yl04KbbgF8,0,685800,99.28766999999999,98.18906930039364,98.53231,1,1.75
1507620,kzGP9EoQxiJijdIi2Fz69E5vqCVtsi/owwmAhd8XR9QGOilJKoo5bBEEaM0mh41z,0,685800,99.978665,98.87646056536937,99.44752,1,1.75
1512248,bctascTAO9yYY1cGavT+MjmktLUd8c2cmiWREvepwK+S0tDY1q9zcFpB7rjq73Tb,0,685800,99.9996,98.02385927197227,98.749452,1,1.75
1516932,voDC6T9IZkvF8pad6pg3DC7lLty4ofq/XS2qe1TRYAjtGkna5+sX1fwqxQGsotMZ,0,685500,96.423062,90.77013094181973,95.843522,1,1.75
1516933,IWGh+1pLqrfKAAMGwXJXKKJ9tSo3Iy0+kvCl14JwIO3UOdE0oFlvpL/Q3dwrHxa1,0,685800,95.839731,92.96611811106243,95.243059,1,1.75
1539862,4Z8h1T/0WrHMg18ZKaaeBVvfB0LBokQvPzd8HvbxYNcqEaj47wRUsFuHgZAe6LpT,0,990600,100.0,98.80216360944613,99.578005,1,1.75
1547858,ZnDX0Pxumu+krctbZ8OlFR105HfoaUVjqHsD4XHlRzjd778haRnq62F1/Y1YP2/H,0,2591700,100.0,50.86122589188573,99.085266,1,1.75
1557067,TC4IdMPVwtapPeZ6yKla85xgO+Wnzve3tuhz+rjlxwr2zobRya2tW9OMLy/+OJ0P,0,2591700,100.0,51.45722932260682,83.637175,1,1.75
1557236,IiG+gmNoXkm457kuFxYO+qlOeRFBvURzi5LJ/XQXGg1djrZpPO1yumy2uEQZ9ITH,0,2591700,100.0,69.73590343245729,98.632875,1,1.75
1562510,AC/UwMebRU1+Mxkr3tM3Bo0gFfRex5i2/6XDkrQcrEDYd2C02yEwtekziVxqTUIN,0,2591700,99.872488,97.46111893692137,98.942915,1,1.75
1567290,ASOrKg2IYyzQuU+5jTGFB3zj8BIq/WJko3mY2pe5kVuIh4aq1dzj7wc+iSxo8pCC,0,2082900,99.88763900000001,54.9625678277155,97.456848,1,1.75
